endbr64(0x202140:0.39812932:0.00000000:0.00000000)	xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp
cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]	je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax
mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax	mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]
mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]	mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)
mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)	mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0
mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0	call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]
mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]	call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)
call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)	jmp(0x202a60:0.51687678:0.00000000:0.00000000) qword [ rel address(0x204d90:0.96136641:0.89189189:0.00000000) ]
mov(0x20277d:0.43635624:0.88296761:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]
cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]	je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]
mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]	call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)
call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)	jmp(0x202a60:0.51687678:0.00000000:0.00000000) qword [ rel address(0x204d90:0.96136641:0.89189189:0.00000000) ]
mov(0x202770:0.43635624:0.86938349:0.00000000) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]	call(0x202778:0.43635624:0.86938349:1.00000000) address(0x202230:0.41032940:0.00000000:0.00000000)
call(0x202778:0.43635624:0.86938349:1.00000000) address(0x202230:0.41032940:0.00000000:0.00000000)	push(0x202230:0.41032940:0.00000000:0.00000000) rbp
push(0x202230:0.41032940:0.00000000:0.00000000) rbp	mov(0x202231:0.41032940:0.00000000:0.12500000) rbp rsp
mov(0x202231:0.41032940:0.00000000:0.12500000) rbp rsp	sub(0x202234:0.41032940:0.00000000:0.50000000) rsp 0x20
sub(0x202234:0.41032940:0.00000000:0.50000000) rsp 0x20	mov(0x202238:0.41032940:0.00000000:1.00000000) qword [ rbp - 0x18 ] rdi
mov(0x202238:0.41032940:0.00000000:1.00000000) qword [ rbp - 0x18 ] rdi	mov(0x20223c:0.41032940:0.06030151:0.00000000) rdi qword [ rbp - 0x18 ]
mov(0x20223c:0.41032940:0.06030151:0.00000000) rdi qword [ rbp - 0x18 ]	lea(0x202240:0.41032940:0.06030151:0.06896552) rsi [ rbp - 0x10 ]
lea(0x202240:0.41032940:0.06030151:0.06896552) rsi [ rbp - 0x10 ]	call(0x202244:0.41032940:0.06030151:0.13793103) address(0x202880:0.49247662:0.00000000:0.00000000)
call(0x202244:0.41032940:0.06030151:0.13793103) address(0x202880:0.49247662:0.00000000:0.00000000)	jmp(0x202880:0.49247662:0.00000000:0.00000000) qword [ rel address(0x204ca0:0.96136641:0.08108108:0.00000000) ]
cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]	je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]
mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]	movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]
movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]	mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8
mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8	call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)
call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)	jmp(0x202a50:0.51606344:0.00000000:0.00000000) qword [ rel address(0x204d88:0.96136641:0.86486486:0.00000000) ]
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax
mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax	mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]
mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]	mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)
mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)	mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0
mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0	call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]
mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]	movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]
movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]	mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8
mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8	call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)
call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)	cmp(0x20276b:0.43635624:0.84535005:0.85714286) eax 0x0
cmp(0x20276b:0.43635624:0.84535005:0.85714286) eax 0x0	jle(0x20276e:0.43635624:0.84535005:1.00000000) address(0x20277d:0.43635624:0.88296761:0.00000000)
jle(0x20276e:0.43635624:0.84535005:1.00000000) address(0x20277d:0.43635624:0.88296761:0.00000000)	mov(0x20277d:0.43635624:0.88296761:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20277d:0.43635624:0.88296761:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]
cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]	je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax
mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax	mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]	mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]
mov(0x2027a2:0.43635624:0.89968652:0.48837209) rdi qword [ rax ]	mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x2027a5:0.43635624:0.89968652:0.55813953) edx dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)
mov(0x2027ac:0.43635624:0.89968652:0.72093023) rsi address(0x200f36:0.15290769:0.49400480:0.00000000)	mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0
mov(0x2027b6:0.43635624:0.89968652:0.95348837) al 0x0	call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)
call(0x2027b8:0.43635624:0.89968652:1.00000000) address(0x2028b0:0.49491663:0.00000000:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]
mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]	movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]
movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]	mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8
mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8	call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)
call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)	jmp(0x202a50:0.51606344:0.00000000:0.00000000) qword [ rel address(0x204d88:0.96136641:0.86486486:0.00000000) ]
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]
mov(0x202759:0.43635624:0.84535005:0.00000000) rdi qword [ rbp - 0x20 ]	movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]
movsxd(0x20275d:0.43635624:0.84535005:0.19047619) rsi dword [ rbp - 0x4 ]	mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8
mov(0x202761:0.43635624:0.84535005:0.38095238) edx 0x3e8	call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)
call(0x202766:0.43635624:0.84535005:0.61904762) address(0x202a50:0.51606344:0.00000000:0.00000000)	cmp(0x20276b:0.43635624:0.84535005:0.85714286) eax 0x0
cmp(0x20276b:0.43635624:0.84535005:0.85714286) eax 0x0	jle(0x20276e:0.43635624:0.84535005:1.00000000) address(0x20277d:0.43635624:0.88296761:0.00000000)
jle(0x20276e:0.43635624:0.84535005:1.00000000) address(0x20277d:0.43635624:0.88296761:0.00000000)	mov(0x20277d:0.43635624:0.88296761:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]
mov(0x20277d:0.43635624:0.88296761:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]
cmp(0x202784:0.43635624:0.88296761:0.50000000) eax dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ]	je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)
je(0x20278b:0.43635624:0.88296761:1.00000000) address(0x2027bd:0.43635624:0.94984326:0.00000000)	jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)
jmp(0x2027bd:0.43635624:0.94984326:0.00000000) address(0x20274c:0.43635624:0.83176594:0.00000000)	mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]
mov(0x20274c:0.43635624:0.83176594:0.00000000) al byte [ address(0x204e08:0.97641318:0.98876404:0.00000000) ]	and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1
and(0x202753:0.43635624:0.83176594:0.63636364) al 0x1	test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1
test(0x202755:0.43635624:0.83176594:0.81818182) al 0x1	je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)
je(0x202757:0.43635624:0.83176594:1.00000000) address(0x2027bf:0.43635624:0.95193312:0.00000000)	mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]
mov(0x2027bf:0.43635624:0.95193312:0.00000000) rdi qword [ address(0x204e00:0.97641318:0.89887640:0.00000000) ]	call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)
call(0x2027c7:0.43635624:0.95193312:0.17777778) address(0x202a60:0.51687678:0.00000000:0.00000000)	mov(0x2027cc:0.43635624:0.95193312:0.28888889) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]
mov(0x2027cc:0.43635624:0.95193312:0.28888889) rdi qword [ address(0x204dd8:0.97641318:0.44943820:0.00000000) ]	call(0x2027d4:0.43635624:0.95193312:0.46666667) address(0x202a70:0.51769012:0.00000000:0.00000000)
call(0x2027d4:0.43635624:0.95193312:0.46666667) address(0x202a70:0.51769012:0.00000000:0.00000000)	mov(0x2027d9:0.43635624:0.95193312:0.57777778) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]
mov(0x2027d9:0.43635624:0.95193312:0.57777778) rdi qword [ address(0x204df8:0.97641318:0.80898876:0.00000000) ]	call(0x2027e1:0.43635624:0.95193312:0.75555556) address(0x202a80:0.51850346:0.00000000:0.00000000)
call(0x2027e1:0.43635624:0.95193312:0.75555556) address(0x202a80:0.51850346:0.00000000:0.00000000)	xor(0x2027e6:0.43635624:0.95193312:0.86666667) eax eax
xor(0x2027e6:0.43635624:0.95193312:0.86666667) eax eax	mov(0x2027e8:0.43635624:0.95193312:0.91111111) rsp rbp
mov(0x2027e8:0.43635624:0.95193312:0.91111111) rsp rbp	pop(0x2027eb:0.43635624:0.95193312:0.97777778) rbp
pop(0x2027eb:0.43635624:0.95193312:0.97777778) rbp	retn(0x2027ec:0.43635624:0.95193312:1.00000000)
mov(0x20278d:0.43635624:0.89968652:0.00000000) eax dword [ address(0x204db4:0.97641318:0.04494382:0.00000000) ]	mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax
mov(0x202794:0.43635624:0.89968652:0.16279070) dword [ address(0x204db8:0.97641318:0.08988764:0.00000000) ] eax	mov(0x20279b:0.43635624:0.89968652:0.32558140) rax qword [ rel address(0x203c70:0.75030500:0.80000000:0.00000000) ]
